url,equipo,valor_mercado,liga,ataque,tecnica,velocidad,defensa,creatividad,partidos,valoracion_media
"https://www.sofascore.com/football/player/mihai-popescu/798298
",FCSB,1.1M €,Romanian Super Liga,37,44,51,69,41,33 Appearances,6.99
"https://www.sofascore.com/football/player/rasmus-nicolaisen/798124
",Toulouse,5.2M €,Ligue 1,,,,,,,
"https://www.sofascore.com/football/player/emmanuel-lomotey/965032
",Ethnikos Achnas,300K €,Cyprus League by Stoiximan,37,47,56,62,40,27 Appearances,7.03
"https://www.sofascore.com/football/player/lukas-fila/1123333
",FK Pardubice,170K €,Chance Liga,,,,,,,
"https://www.sofascore.com/football/player/ylmaz-yusuf/1804803
",Başakşehir FK,45K €,Trendyol Süper Lig,,,,,,,
"https://www.sofascore.com/football/player/theo-de-percin/1095836
",Auxerre,310K €,Ligue 1,,,,,,,
"https://www.sofascore.com/football/player/zidan-sertdemir/1129120
",FC Nordsjælland,1.9M €,Danish Superliga,47,48,38,38,47,31 Appearances,6.72
"https://www.sofascore.com/football/player/mohamed-el-amine-amoura/1107591
",VfL Wolfsburg,35M €,Bundesliga,73,57,45,25,62,31 Appearances,7.18
"https://www.sofascore.com/football/player/martin-hansen/39473
",Odense BK,69K €,Danish 1st Division,,,,,,11 Appearances,7.06
"https://www.sofascore.com/football/player/youssouf-fofana/945062
",Milan,33M €,Serie A,58,58,55,49,66,35 Appearances,6.89
"https://www.sofascore.com/football/player/dominic-thompson/970366
",Motherwell,470K €,Scottish Premiership,45,43,30,45,45,15 Appearances,6.63
"https://www.sofascore.com/football/player/yakiv-kinareykin/1400079
",Karpaty Lviv,745K €,Ukrainian Premier League,,,,,,13 Appearances,7.29
"https://www.sofascore.com/football/player/nikola-simic/1427163
",FK Partizan,665K €,Mozzart Bet Superliga,,,,,,,
"https://www.sofascore.com/football/player/benicio-pena/1152274
",Sønderjyske Fodbold,,Danish Superliga,,,,,,11 Appearances,6.88
"https://www.sofascore.com/football/player/can-bozdogan/934249
",FC Utrecht,3.6M €,Eredivisie,,,,,,9 Appearances,6.88
"https://www.sofascore.com/football/player/oshima-takuto/1103106
",Universitatea Craiova,1.2M €,Romanian Super Liga,47,52,43,50,49,34 Appearances,6.93
"https://www.sofascore.com/football/player/zortea-nadir/928104
",Cagliari,4.7M €,Serie A,63,62,28,30,66,35 Appearances,6.63
"https://www.sofascore.com/football/player/dominik-takac/886365
",ŠK Slovan Bratislava,2.7M €,Niké Liga,62,31,43,52,57,23 Appearances,7.18
"https://www.sofascore.com/football/player/dimitri-lavalee/857458
",SK Sturm Graz,4.1M €,Austrian Bundesliga,39,45,52,69,41,30 Appearances,6.91
"https://www.sofascore.com/football/player/mikautadze-georges/1009372
",Olympique Lyonnais,24M €,Ligue 1,78,63,54,19,58,34 Appearances,7.06
"https://www.sofascore.com/football/player/ivan-marquez/862479
",NEC Nijmegen,620K €,Eredivisie,36,44,56,71,34,29 Appearances,6.95
"https://www.sofascore.com/football/player/marco-bortoli/2179332
",MŠK Žilina,,Niké Liga,,,,,,,
"https://www.sofascore.com/football/player/mika/107264
",Moreirense,92K €,Liga Portugal Betclic,,,,,,,
"https://www.sofascore.com/football/player/andreas-christensen/186795
",Barcelona,11.6M €,LaLiga,,,,,,,
"https://www.sofascore.com/football/player/deniz-aksoy/2026680
",Hatayspor,,Trendyol Süper Lig,,,,,,,
"https://www.sofascore.com/football/player/jordy-de-wijs/359032
",SC Heerenveen,620K €,Eredivisie,,,,,,,
"https://www.sofascore.com/football/player/de-wilde-nils/1101701
",Cercle Brugge,580K €,Pro League,,,,,,10 Appearances,6.61
"https://www.sofascore.com/football/player/adam-idah/879850
",Celtic,5M €,Scottish Premiership,64,49,43,31,40,35 Appearances,6.86
"https://www.sofascore.com/football/player/ubomir-tupta/815553
",Widzew Łódź,660K €,Ekstraklasa,59,46,42,34,46,18 Appearances,6.83
"https://www.sofascore.com/football/player/aboubakar-keita/359232
",Nyiregyháza Spartacus,335K €,NB I,44,50,49,57,46,28 Appearances,6.74
"https://www.sofascore.com/football/player/ross-barkley/98435
",Aston Villa,5.4M €,Premier League,67,75,50,37,69,20 Appearances,6.83
"https://www.sofascore.com/football/player/hicham-boudaoui/985923
",Nice,9.4M €,Ligue 1,58,61,61,57,61,29 Appearances,7.08
"https://www.sofascore.com/football/player/ronael-pierre-gabriel/826293
",GNK Dinamo Zagreb,3.6M €,HNL,45,52,50,62,51,28 Appearances,6.96
"https://www.sofascore.com/football/player/jordan-zemura/964119
",Udinese,4.1M €,Serie A,50,49,42,44,52,23 Appearances,6.72
"https://www.sofascore.com/football/player/tselios-anastasios-andreas/1001853
",FK Radnički 1923,105K €,Mozzart Bet Superliga,,,,,,,
"https://www.sofascore.com/football/player/bassel-jradi/255245
",AEL Limassol,415K €,Cyprus League by Stoiximan,59,53,45,42,50,21 Appearances,7.26
"https://www.sofascore.com/football/player/husol-artem/1490703
",Kolos Kovalivka,310K €,Ukrainian Premier League,,,,,,13 Appearances,6.68
"https://www.sofascore.com/football/player/stipe-perica/284845
",FC Dinamo București,630K €,Romanian Super Liga,,,,,,16 Appearances,6.85
"https://www.sofascore.com/football/player/gautier-larsonneur/810526
",Saint-Étienne,3.6M €,Ligue 1,70,50,60,65,60,34 Appearances,7.05
"https://www.sofascore.com/football/player/valentin-barco/1127057
",RC Strasbourg,13.2M €,Ligue 1,54,57,50,57,61,14 Appearances,6.98
"https://www.sofascore.com/football/player/kanya-fujimoto/925987
",Gil Vicente,3.9M €,Liga Portugal Betclic,58,55,37,36,62,30 Appearances,6.98
"https://www.sofascore.com/football/player/luca-plogmann/877840
",Go Ahead Eagles,515K €,Eredivisie,56,42,51,65,64,18 Appearances,6.77
"https://www.sofascore.com/football/player/gergely-mim/1008016
",Zalaegerszegi TE,570K €,NB I,50,46,36,47,49,28 Appearances,7.16
"https://www.sofascore.com/football/player/andy-diouf/1048889
",RC Lens,16.1M €,Ligue 1,54,57,35,32,60,34 Appearances,6.81
"https://www.sofascore.com/football/player/amadou-onana/923973
",Aston Villa,50M €,Premier League,54,61,57,63,55,26 Appearances,6.96
"https://www.sofascore.com/football/player/paulo-dybala/256219
",Roma,8.3M €,Serie A,81,64,64,25,73,23 Appearances,7.32
"https://www.sofascore.com/football/player/arnor-traustason/94796
",IFK Norrköping,870K €,Allsvenskan,54,53,54,50,53,27 Appearances,7.03
"https://www.sofascore.com/football/player/ibrahima-breze-fofana/1069338
",Hammarby IF,620K €,Allsvenskan,37,44,43,61,39,19 Appearances,6.84
"https://www.sofascore.com/football/player/carlos-barahona/1087450
",Apollon Limassol,190K €,Cyprus League by Stoiximan,,,,,,14 Appearances,6.54
"https://www.sofascore.com/football/player/lewis-obrien/920936
",Nottingham Forest,4.1M €,Premier League,51,50,50,53,52,16 Appearances,7.05
"https://www.sofascore.com/football/player/claudio-ramos/116372
",FC Porto,1.3M €,Liga Portugal Betclic,,,,,,,
"https://www.sofascore.com/football/player/gerard-gumbau/326471
",Rayo Vallecano,1.4M €,LaLiga,56,53,42,38,65,22 Appearances,6.77
"https://www.sofascore.com/football/player/merveil-ndockyt/890996
",HNK Rijeka,390K €,HNL,51,48,40,38,52,33 Appearances,6.72
"https://www.sofascore.com/football/player/guilherme-barthel-nunes/1633929
",CD Nacional U19,,"U19 Championship, II Division",,,,,,,
"https://www.sofascore.com/football/player/nicholas-opoku/885683
",Kasımpaşa,1.5M €,Trendyol Süper Lig,33,43,53,64,37,26 Appearances,6.75
"https://www.sofascore.com/football/player/denis-potoma/856202
",1. FC Tatran Prešov,115K €,Slovakia League Two,,,,,,,
"https://www.sofascore.com/football/player/egor-ushakov/1124317
",CSKA Moscow,140K €,Russian Premier League,,,,,,,
"https://www.sofascore.com/football/player/vito-mannone/17053
",Lille,190K €,Ligue 1,,,,,,,
"https://www.sofascore.com/football/player/roy-gordana/80778
",Hapoel Be'er Sheva,180K €,Israeli Premier League,47,54,41,51,48,16 Appearances,6.71
"https://www.sofascore.com/football/player/christian-gammelgaard/1152366
",Vejle,530K €,Danish Superliga,59,59,40,33,54,30 Appearances,6.87
"https://www.sofascore.com/football/player/arnau-sola/997025
",Villarreal,410K €,LaLiga,44,51,36,48,47,30 Appearances,6.84
"https://www.sofascore.com/football/player/gustav-wagner/1149082
",Sønderjyske Fodbold,49K €,Danish Superliga,,,,,,,
