url,equipo,valor_mercado,ataque,tecnica,velocidad,defensa,creatividad,liga,partidos,valoracion_media
https://www.sofascore.com/football/player/david-carmo/892235,Olympiacos FC,9.2M €,36,46,60,70,42,Stoiximan Super League,23 Appearances,6.99
https://www.sofascore.com/football/player/daniel-bak/1585761,MKS Korona Kielce,27K €,,,,,,Ekstraklasa,,
https://www.sofascore.com/football/player/christopher-trimmel/48557,1. FC Union Berlin,555K €,59,58,54,54,73,Bundesliga,26 Appearances,6.97
https://www.sofascore.com/football/player/oskar-cotton/1879740,IF Brommapojkarna,,,,,,,Allsvenskan,,
https://www.sofascore.com/football/player/fernando-pacheco/144501,Espanyol,850K €,,,,,,LaLiga,,
https://www.sofascore.com/football/player/oliver-hojer/1426255,FC København,47K €,,,,,,Danish Superliga,,
https://www.sofascore.com/football/player/mikhail-kerzhakov/14969,Zenit St. Petersburg,310K €,,,,,,Russian Premier League,,
https://www.sofascore.com/football/player/charalambous-panagiotis/2037743,Apollon Limassol,,,,,,,Cyprus League by Stoiximan,,
https://www.sofascore.com/football/player/ian-smeulers/856742,NPS Volos,260K €,,,,,,Stoiximan Super League,,
https://www.sofascore.com/football/player/hennadii-pasich/985706,LNZ Cherkasy,440K €,48,62,32,40,45,Ukrainian Premier League,29 Appearances,6.90
https://www.sofascore.com/football/player/jawla-kalipha/1468526,Östersunds FK,475K €,,,,,,Superettan,16 Appearances,6.81
https://www.sofascore.com/football/player/ivan-provedel/308182,Lazio,6.5M €,73,44,67,91,68,Serie A,29 Appearances,6.92
https://www.sofascore.com/football/player/jiri-pavlenka/154040,PAOK,870K €,,,,,,Stoiximan Super League,,
https://www.sofascore.com/football/player/mario-gotze/66518,Eintracht Frankfurt,5.2M €,59,52,36,34,63,Bundesliga,24 Appearances,6.96
https://www.sofascore.com/football/player/hatzidiakos-pantelis/822163,FC København,2.9M €,35,45,57,69,39,Danish Superliga,24 Appearances,7.06
https://www.sofascore.com/football/player/matheus-nunes/945122,Manchester City,33M €,62,65,52,53,74,Premier League,21 Appearances,7.33
https://www.sofascore.com/football/player/mathias-rasmussen/834244,Royale Union Saint-Gilloise,2.1M €,58,59,49,59,62,Pro League,22 Appearances,7.01
https://www.sofascore.com/football/player/anass-zaroury/877036,RC Lens,8.3M €,67,60,40,35,68,Ligue 1,27 Appearances,6.93
https://www.sofascore.com/football/player/archie-mair/892258,Motherwell,53K €,,,,,,Scottish Premiership,,
https://www.sofascore.com/football/player/costinha/988333,Olympiacos FC,4.6M €,47,50,50,64,53,Stoiximan Super League,24 Appearances,7.11
https://www.sofascore.com/football/player/jeremy-jacquet/1445625,Stade Rennais,5.2M €,38,47,54,69,44,Ligue 1,17 Appearances,7.11
https://www.sofascore.com/football/player/rostyslav-liakh/958968,Rukh Lviv,540K €,42,52,36,45,47,Ukrainian Premier League,16 Appearances,6.65
https://www.sofascore.com/football/player/timothy-muzie/1091737,Beitar Jerusalem,720K €,52,45,35,40,47,Israeli Premier League,34 Appearances,6.90
https://www.sofascore.com/football/player/andrew-robertson/262911,Liverpool,19.2M €,49,54,45,56,65,Premier League,33 Appearances,6.92
https://www.sofascore.com/football/player/mykola-mykhailenko/976375,Dynamo Kyiv,755K €,49,56,46,51,48,Ukrainian Premier League,21 Appearances,6.87
https://www.sofascore.com/football/player/paul-arnold-garita/294633,Hapoel Be'er Sheva,700K €,62,51,46,33,40,Israeli Premier League,33 Appearances,6.79
https://www.sofascore.com/football/player/kazeem-bolaji-soliu/1116070,FC Spartak Trnava,115K €,,,,,,Niké Liga,,
https://www.sofascore.com/football/player/cebrail-makreckis/991090,Ferencváros TC,1.2M €,41,47,46,57,46,NB I,27 Appearances,6.87
https://www.sofascore.com/football/player/smets-matte/1392905,KRC Genk,14.2M €,34,54,75,77,49,Pro League,38 Appearances,7.07
https://www.sofascore.com/football/player/tammy-abraham/610766,Milan,13.7M €,70,49,59,37,48,Serie A,27 Appearances,6.85
https://www.sofascore.com/football/player/artem-habelok/875718,Chornomorets Odesa,280K €,46,50,38,39,48,Ukrainian Premier League,30 Appearances,6.68
https://www.sofascore.com/football/player/hordur-magnusson/94770,Panathinaikos,635K €,,,,,,Stoiximan Super League,,
https://www.sofascore.com/football/player/aznaurov-imran/1434578,FC Rostov,260K €,,,,,,Russian Premier League,,
https://www.sofascore.com/football/player/onur-demir/1509252,Fortuna Sittard,24K €,,,,,,Eredivisie,,
https://www.sofascore.com/football/player/tomislav-duvnjak/1018753,NK Varaždin,515K €,45,47,48,52,49,HNL,28 Appearances,6.78
https://www.sofascore.com/football/player/petr-reinberk/58264,1. FC Slovácko,145K €,37,44,35,52,42,Chance Liga,18 Appearances,6.64
https://www.sofascore.com/football/player/ugurcan-cakir/754330,Trabzonspor,7.7M €,74,57,54,69,69,Trendyol Süper Lig,32 Appearances,7.31
https://www.sofascore.com/football/player/antonios-papadopoulos/888954,FC Lugano,3.4M €,39,49,58,67,41,Swiss Super League,32 Appearances,7.09
https://www.sofascore.com/football/player/mattijs-branderhorst/146871,Fortuna Sittard,840K €,73,58,61,59,72,Eredivisie,28 Appearances,7.15
https://www.sofascore.com/football/player/adama-boiro/1398511,Athletic Club,2.3M €,,,,,,LaLiga,18 Appearances,6.73
https://www.sofascore.com/football/player/joel-mall/37353,Servette FC,195K €,68,48,43,62,56,Swiss Super League,25 Appearances,7.19
https://www.sofascore.com/football/player/mark-kovacsreti/940322,Nyiregyháza Spartacus,415K €,66,57,57,40,50,NB I,24 Appearances,7.19
https://www.sofascore.com/football/player/michal-sevcik/1034266,Mladá Boleslav,820K €,60,65,46,36,52,Chance Liga,14 Appearances,6.81
https://www.sofascore.com/football/player/maracas/931485,Moreirense,1.1M €,35,43,58,73,36,Liga Portugal Betclic,29 Appearances,6.85
https://www.sofascore.com/football/player/athanasios-papadoudis/1150221,Pafos FC,195K €,,,,,,Cyprus League by Stoiximan,,
https://www.sofascore.com/football/player/maciej-famulak/1386700,Pogoń Siedlce,160K €,,,,,,Betclic 1. Liga,22 Appearances,6.89
https://www.sofascore.com/football/player/kenneth-vermeer/9874,PEC Zwolle,48K €,,,,,,Eredivisie,,
https://www.sofascore.com/football/player/andrea-belotti/220223,Benfica,1.9M €,67,48,54,30,48,Liga Portugal Betclic,17 Appearances,6.79
https://www.sofascore.com/football/player/metehan-baltaci/997155,Galatasaray,2.6M €,37,48,51,61,42,Trendyol Süper Lig,7 Appearances,6.69
https://www.sofascore.com/football/player/chekh-maxym/904851,Karpaty Lviv,220K €,,,,,,Ukrainian Premier League,,
