url,nombre,posicion,equipo,nacionalidad,edad,altura,valor_mercado,ataque,tecnica,defensa,creatividad,tactica,liga,partidos,valoracion_media
https://www.sofascore.com/football/player/tvardovskyi-denys/1127399,Denys Tvardovskyi,G,Shakhtar Donetsk,UKR,22,206 cm,310K €,No encontrado,No encontrado,No encontrado,No encontrada,No encontrada,No encontrada,No encontrado,No encontrada
https://www.sofascore.com/football/player/ladislav-almasi/825979,Ladislav Almási,F,Zalaegerszegi TE,SVK,26,196 cm,255K €,56,45,36,42,47,Niké Liga,13 Appearances,6.74
